lab,compound,sample_type,RT,sample,peak_area,note,c_real_M,rf,rf_error,slope,intercept,residuals,abs_residuals,peak_area_norm1,c_real_M_norm1,rf_norm1,rf_error_norm1,residuals_norm1,abs_residuals_norm1,peak_area_norm2,c_real_M_norm2,rf_norm2,rf_error_norm2,residuals_norm2,abs_residuals_norm2
L1,Amitrole,cal,0.72,cal1,285600245.7,non-linear,6.25e-06,45696039311999.99,5291852953833.766,44930620373315.17,667276.6951125711,4116591.671667635,4116591.671667635,1.0,1.0,0.7017206830462173,0.3744564665333295,0.8137643060740741,0.3042426724427753,1.0,1.0,0.2284478716551203,0.2840717139841203,0.9493197749986992,0.2906406042634548
L1,Amitrole,cal,0.72,cal2,103057658.3,non-linear,2.58e-06,39944828798449.62,11043063467384.14,44930620373315.17,667276.6951125711,-13530618.958265692,13530618.958265692,0.3608458320734561,0.4127999999999999,0.6134035459228835,0.7814175038072803,-2.674721134745272,1.0,0.3578883807633939,0.4108960159234646,0.0,0.7498345303242363,0.0,1.0
L1,Amitrole,cal,0.72,cal3,65933010.67,non-linear,1.34e-06,49203739305970.15,1784152959863.6094,44930620373315.17,667276.6951125711,5058702.674645104,5058702.674645104,0.2308576818916931,0.2144,0.755585868579782,0.1262483328493664,1.0,0.3738707512382353,0.2272987581289131,0.2118527079521012,0.3677796864337941,0.0,1.0,0.3616299132428585
L1,Amitrole,cal,0.72,cal4,38058669.33,non-linear,7.78e-07,48918598110539.84,2069294155293.914,44930620373315.17,667276.6951125711,2435369.984448232,2435369.984448232,0.1332585314719146,0.12448,0.7512071636102811,0.1464251906410343,0.4814218468807492,0.1799895475558044,0.1292480034644087,0.1216411441779832,0.356453392766787,0.0230922109224306,0.8588795900140602,0.1639583285658986
L1,Amitrole,cal,0.72,cal5,13405378.67,linear,2.35e-07,57044164553191.49,6056272287357.734,44930620373315.17,667276.6951125711,2179406.187158365,2179406.187158365,0.0469375600050472,0.0376,0.8759855496612926,0.4285474938310128,0.4308231432698824,0.1610721722251288,0.0425276133862559,0.0344794375421361,0.6792147236974668,0.3459783509969891,0.8451101904445404,0.1446711182096617
L1,Amitrole,cal,0.72,cal6,1315423.667,linear,2.02e-08,65119983514851.484,14132091249017.729,44930620373315.17,667276.6951125711,-259451.55965353732,259451.55965353732,0.0046058212022049,0.0032319999999999,1.0,1.0,-0.0512881614794131,0.0191751434619361,0.0,0.0,1.0,1.0,0.7139134854236259,0.0
L1,Aspartame,cal,2.68,cal1,163756856.3,linear,1.72e-06,95207474593023.28,22933834017830.97,94324257345443.0,-5739938.101149105,7259071.766987145,7259071.766987145,1.0,1.0,1.0,0.7416083957626263,1.0,0.3797539392680176,1.0,1.0000000000000002,1.0,0.5915458327105337,1.0,0.331611702033679
L1,Aspartame,cal,2.68,cal2,41549141.0,non-linear,7.04e-07,59018666193181.82,13254974382010.477,94324257345443.0,-5739938.101149105,-19115198.07004276,19115198.07004276,0.2537245886296365,0.4093023255813953,0.6198953017655892,0.4286243756571496,-2.633284073175166,1.0,0.2522916040358757,0.4066841469040709,0.3280735357805007,0.0967943577761897,0.0,1.0
L1,Aspartame,cal,2.68,cal3,30317224.0,linear,3.58e-07,84684983240223.47,12411342665031.172,94324257345443.0,-5739938.101149105,2289077.971480511,2289077.971480511,0.1851356009452167,0.2081395348837209,0.8894783062172423,0.4013439669929439,0.3153403141557017,0.1197517265106419,0.1835709130135784,0.2046297323654965,0.8046263272515488,0.0536706787497688,0.8115589995015262,0.0514286465422979
L1,Aspartame,cal,2.68,cal4,12974311.67,linear,2.13e-07,60912261361502.35,11361379213689.943,94324257345443.0,-5739938.101149105,-1376817.043430252,1376817.043430252,0.0792291203137856,0.1238372093023255,0.6397844457263439,0.3673914359790213,-0.1896684710697791,0.0720273490436906,0.0774610726669376,0.1199537493941287,0.3632323808039339,0.0,0.6725638713875419,0.0
