lab,compound,sample_type,RT,sample,peak_area,note,c_real_M,rf,rf_error,slope,intercept,residuals,abs_residuals,peak_area_norm1,c_real_M_norm1,rf_norm1,rf_error_norm1,residuals_norm1,abs_residuals_norm1,peak_area_norm2,c_real_M_norm2,rf_norm2,rf_error_norm2,residuals_norm2,abs_residuals_norm2
L1,Amitrole,cal,0.72,cal1,285600245.7,non-linear,6.25e-06,45696039311999.99,5291852953833.766,44930620373315.164,667276.6951125711,4116591.6716676354,4116591.6716676354,1.0,1.0,0.7017206830462173,0.37445646653332954,0.8137643060740741,0.30424267244277536,1.0,1.0,0.22844787165512037,0.28407171398412034,0.9493197749986991,0.2906406042634548
L1,Amitrole,cal,0.72,cal2,103057658.3,non-linear,2.58e-06,39944828798449.62,11043063467384.14,44930620373315.164,667276.6951125711,-13530618.958265692,13530618.958265692,0.3608458320734561,0.41279999999999994,0.6134035459228835,0.7814175038072803,-2.6747211347452717,1.0,0.35788838076339397,0.41089601592346464,0.0,0.7498345303242363,0.0,0.9999999999999999
L1,Amitrole,cal,0.72,cal3,65933010.67,non-linear,1.34e-06,49203739305970.15,1784152959863.6094,44930620373315.164,667276.6951125711,5058702.6746451035,5058702.6746451035,0.23085768189169315,0.2144,0.755585868579782,0.12624833284936648,1.0,0.3738707512382353,0.22729875812891318,0.2118527079521012,0.3677796864337941,0.0,1.0,0.36162991324285854
L1,Amitrole,cal,0.72,cal4,38058669.33,non-linear,7.78e-07,48918598110539.84,2069294155293.914,44930620373315.164,667276.6951125711,2435369.9844482318,2435369.9844482318,0.13325853147191463,0.12448,0.7512071636102811,0.14642519064103438,0.48142184688074924,0.17998954755580443,0.1292480034644087,0.12164114417798325,0.356453392766787,0.02309221092243066,0.8588795900140602,0.16395832856589868
L1,Amitrole,cal,0.72,cal5,13405378.67,linear,2.35e-07,57044164553191.49,6056272287357.734,44930620373315.164,667276.6951125711,2179406.187158365,2179406.187158365,0.04693756000504729,0.0376,0.8759855496612926,0.4285474938310128,0.4308231432698824,0.16107217222512885,0.04252761338625594,0.034479437542136185,0.6792147236974668,0.34597835099698915,0.8451101904445404,0.1446711182096617
L1,Amitrole,cal,0.72,cal6,1315423.667,linear,2.02e-08,65119983514851.484,14132091249017.727,44930620373315.164,667276.6951125711,-259451.55965353735,259451.55965353735,0.004605821202204939,0.0032319999999999996,1.0,1.0,-0.05128816147941317,0.019175143461936123,0.0,0.0,1.0,1.0,0.7139134854236259,0.0
L1,Aspartame,cal,2.68,cal1,163756856.3,linear,1.72e-06,95207474593023.27,22933834017830.97,94324257345443.0,-5739938.101149105,7259071.766987145,7259071.766987145,1.0,1.0,1.0,0.7416083957626263,1.0,0.3797539392680176,0.9999999999999999,1.0000000000000002,1.0,0.5915458327105337,1.0,0.33161170203367907
L1,Aspartame,cal,2.68,cal2,41549141.0,non-linear,7.04e-07,59018666193181.82,13254974382010.477,94324257345443.0,-5739938.101149105,-19115198.07004276,19115198.07004276,0.2537245886296365,0.4093023255813953,0.6198953017655892,0.4286243756571496,-2.633284073175166,1.0,0.25229160403587575,0.4066841469040709,0.3280735357805007,0.09679435777618972,0.0,1.0
L1,Aspartame,cal,2.68,cal3,30317224.0,linear,3.58e-07,84684983240223.47,12411342665031.172,94324257345443.0,-5739938.101149105,2289077.971480511,2289077.971480511,0.18513560094521672,0.20813953488372092,0.8894783062172423,0.4013439669929439,0.31534031415570174,0.11975172651064193,0.18357091301357842,0.20462973236549659,0.8046263272515488,0.05367067874976883,0.8115589995015262,0.051428646542297965
L1,Aspartame,cal,2.68,cal4,12974311.67,linear,2.13e-07,60912261361502.35,11361379213689.945,94324257345443.0,-5739938.101149105,-1376817.043430252,1376817.043430252,0.0792291203137856,0.12383720930232557,0.6397844457263439,0.36739143597902135,-0.18966847106977916,0.07202734904369067,0.07746107266693765,0.11995374939412876,0.36323238080393394,0.0,0.6725638713875419,0.0
L1,Aspartame,cal,2.68,cal5,6676281.333,linear,7.22e-08,92469270540166.2,20195629964973.906,94324257345443.0,-5739938.101149105,5606008.05380812,5606008.05380812,0.04076947667320357,0.04197674418604651,0.9712396104973704,0.6530634488806001,0.772276157855769,0.29327491314849763,0.038927579511848255,0.0377304500674488,0.9491590950655393,0.4515778463158858,0.9373228634046166,0.2384203498635476
L1,Aspartame,cal,2.68,cal6,313840.3333,non-linear,7.59e-09,41349187523056.65,30924453052135.65,94324257345443.0,-5739938.101149105,5337857.321197192,5337857.321197192,0.001916501943131159,0.004412790697674419,0.43430610568980144,1.0,0.7353360722334686,0.27924677011653126,0.0,0.0,0.0,0.9999999999999999,0.9271557295173899,0.22330337091216373
L1,Atrazine,cal,4.92,cal1,1488899804.0,linear,1.93e-06,771450675647668.4,72027346536866.12,760200104413102.5,-26600776.005905986,48314378.4886179,48314378.4886179,1.0,1.0,0.9468402250097105,0.5829649289034083,1.0,0.3828124449553848,0.9999999999999998,0.9999999999999999,0.8186947695427262,0.4157754352357051,1.0,0.36901667868479765
L1,Atrazine,cal,4.92,cal2,477396103.7,non-linear,8.29e-07,575869847647768.4,123553481463033.88,760200104413102.5,-26600776.005905986,-126209006.85255605,126209006.85255605,0.32063682352395556,0.4295336787564767,0.7067940353611754,1.0,-2.612245273573971,1.0,0.31812017400758114,0.4269415542844056,0.0,1.0,0.0,1.0
